,BeverageCategory,Beverage,Food,Rating
1387,White Wine,Silvaner,Asparagus,4.0
1388,Beer,Dunkelweisse,Wild Boar,4.0
1389,White Wine,"Muscat, Dry",White Asparagus,4.0
1390,White Wine,Pinot Bianco,White Asparagus,4.0
1391,Sparkling Wine,Champagne,Avocado,4.0
1392,Sparkling Wine,"Champagne, Brut",Avocado,4.0
1393,White Wine,Grüner Veltliner,Avocado,4.0
1394,White Wine,Sancerre,Avocado,4.0
1395,White Wine,Chardonnay,Avocado,4.0
1396,Red Wine,Beaujolais,Bacon,4.0
1397,Beer,Smoked Beer,Bacon,4.0
1398,Beer,Stout,Bacon,4.0
1399,Red Wine,Pinot Noir,Split Pea & Bacon Soup,4.0
1400,Red Wine,Syrah,Bacon,4.0
1401,Red Wine,Tempranillo,Bacon,4.0
1402,Sparkling Wine,"Asti Frizzante, (DOCG)",Baked Alaska,4.0
1403,Sparkling Wine,"Asti Spumante, (DOCG)",Baked Alaska,4.0
1404,White Wine,"Muscat, Dry",Baklava,4.0
1405,Dessert Wine,Muscat de Beaumes-de-Venise,Baklava,4.0
1406,Fortified Wine,"Madeira, Malmsey",Banana,4.0
1407,White Wine,"Muscat, Alsace",Banana,4.0
1408,Dessert Wine,Muscat de Beaumes-de-Venise,Banana,4.0
1409,Port,"Port, Tawny",Banana,4.0
1410,Liquor,Rum and Rum Based Drinks,Banana,4.0
1411,Red Wine,"Beaujolais, Cru",Habanero Chilie,4.0
1412,Sparkling Wine,"Champagne, Rosé ",Barbecue,4.0
1413,Fortified Wine,"Madeira, Bual",Smores,4.0
1414,Rosé,Rosé,Barbecue,4.0
1415,Sparkling Wine,"Sparkling Wine, Brut",Potato Chips,4.0
1416,Rosé,Rosado,Barbecue,4.0
1417,Red Wine,Barbera DOC,BBQ Ribs,4.0
1418,Beer,Wheat Beer,BBQ Ribs,4.0
1419,Red Wine,Cabernet Sauvignon,BBQ Ribs,4.0
1420,White Wine,"Chardonnay, Unoaked",Basil,4.0
1421,Red Wine,Chianti DOCG,Basil,4.0
1422,Port,"Port, Ruby",Brownies,4.0
1423,Red Wine,Zinfandel,Basil,4.0
1424,White Wine,White Zinfandel,Basil,4.0
1425,White Wine,Chablis,Bass,4.0
1426,White Wine,Riesling,Bass,4.0
1427,Red Wine,Zinfandel,Bay Leaf,4.0
1428,Red Wine,Zinfandel,Baked Beans,4.0
1429,Red Wine,Shiraz,Baked Beans,4.0
1430,Red Wine,Chambourcin,Philadelphia Cheesesteak,4.0
1431,White Wine,Sauvignon Blanc,Green Beans,4.0
1432,Red Wine,Barolo,Beef,4.0
1433,White Wine,Sancerre,Fried Chicken,4.0
1434,Red Wine,"Burgundy, Red",Beef,4.0
1435,Red Wine,Brunello di Montalcino (DOCG),Beef,4.0
1436,Red Wine,Merlot,Beef,4.0
1437,Red Wine,Pinot Noir,Beef,4.0
1438,Sherry,"Sherry, PX or Pedro Ximenez",Churros,4.0
1439,Red Wine,Zinfandel,Beef,4.0
1440,Fortified Wine,Off-Dry Marsala,Bacon Wrapped Water Chestnuts,4.0
1441,Red Wine,Garnacha,Corn Dog,4.0
1442,White Wine,"Pinot Gris, Alsace",Beef,4.0
1443,Red Wine,Beaujolais,Chicken Wings,4.0
1444,Red Wine,Tempranillo,Chicken Wings,4.0
1445,Beer,Biere De Garde,Truffles,4.0
1446,Beer,Doppelbock,Truffles,4.0
1447,Red Wine,Barbaresco DOCG,Beef Braised,4.0
1448,Red Wine,Chianti Classico DOCG,Beef Braised,4.0
1449,Red Wine,Barbaresco DOCG,Beef Carpaccio,4.0
1450,Red Wine,Shiraz,Red Velvet Cupcake,4.0
1451,Red Wine,"Burgundy, Red",Beef Prime Rib,4.0
1452,Beer,Weissbock,Trout,4.0
1453,Red Wine,Merlot,Beef Prime Rib,4.0
1454,Red Wine,Bordeaux AOC Red,Beef Rib Roast,4.0
1455,Beer,Weissbock,Game prepared with Fruit,4.0
1456,Red Wine,Pinot Noir,Beef Rib Roast,4.0
1457,Red Wine,Barbaresco DOCG,Roast Beef,4.0
1458,Red Wine,Barolo,Roast Beef,4.0
1459,Red Wine,"Burgundy, Red",Roast Beef,4.0
1460,Red Wine,Cabernet Sauvignon,Roast Beef,4.0
1461,Red Wine,Pinot Noir,Roast Beef,4.0
1462,Beer,Weissbier,Trout,4.0
1463,Red Wine,Shiraz,Roast Beef,4.0
1464,Red Wine,Syrah,Roast Beef,4.0
1465,Red Wine,Petite Sirah,Beef Short Ribs,4.0
1466,Beer,Rauchbier,Trout Smoked,4.0
1467,Red Wine,Syrah,Beef Short Ribs,4.0
1468,Red Wine,Shiraz,Beef Short Ribs,4.0
1469,White Wine,Sauvignon Blanc,White Chocolate,4.0
1470,Red Wine,Cabernet Sauvignon,Beef Stew,4.0
1471,Red Wine,"Côtes du Rhône, Red",Beef Stew,4.0
1472,Red Wine,"Rhone, Red Wine",Beef Stew,4.0
1473,Red Wine,Zinfandel,Beef Stew,4.0
1474,Red Wine,Zinfandel,Asian Style Stir Fry with Soy Sauce,4.0
1475,Beer,Sweet Fruit Beer,Tiramisu,4.0
1476,Red Wine,Shiraz,Stir Fried Asian Style with Teriyaki-style Beef,4.0
1477,Red Wine,Syrah,Stir Fried Asian Style with Teriyaki-style Beef,4.0
1478,Red Wine,"Côtes du Rhône, Red",Beef Strognaoff,4.0
1479,Red Wine,"Syrah, France",Beef Tacos,4.0
1480,Red Wine,Bordeaux AOC Red,Beef Wellington,4.0
1481,Beer,American India Pale Ale,Thai Cuisine,4.0
1482,Red Wine,Merlot,Beets,4.0
1483,White Wine,Sauvignon Blanc,Beets,4.0
1484,Beer,Weissbier,General Tso's Chicken,4.0
1485,White Wine,Riesling,Halibut in a Creamy Sauce,4.0
1486,White Wine,"Muscat, Off-Dry",Berries,4.0
1487,Dessert Wine,"Muscat, Sweet",Berries,4.0
1488,Sparkling Wine,Sparkling Wine,Berries,4.0
1489,Sparkling Wine,"Sparkling Wine, Dry",Berries,4.0
1490,Dessert Wine,"Riesling, Late Harvest",Berry Desserts,4.0
1491,Port,"Port, Vintage",Berry Desserts,4.0
1492,Beer,American Amber Lager,Thai Cuisine,4.0
1493,Beer,Weissbier,Moo Shu Pork,4.0
1494,Dessert Wine,Banyuls,Cashews,4.0
1495,Dessert Wine,Banyuls,Sorbet,4.0
1496,White Wine,Riesling,Blackberries,4.0
1497,Beer,Weissbier,Crispy Duck,4.0
1498,Dessert Wine,Ice Wine,Blueberries,4.0
1499,Dessert Wine,"Muscat, Off-Dry",Blueberries,4.0
1500,Dessert Wine,"Muscat, Sweet",Blueberries,4.0
1501,Dessert Wine,Muscat de Beaumes-de-Venise,Blueberries,4.0
1502,Dessert Wine,"Muscat, Orange",Blueberries,4.0
1503,Beer,Weissbier,Brandade de morue,4.0
1504,Sparkling Wine,Sparkling Wine,Blueberries,4.0
1505,Dessert Wine,Banyuls,Tempura,4.0
1506,Beer,American Pale Ale,Thai Cuisine,4.0
1507,White Wine,Chardonnay,Bluefish,4.0
1508,White Wine,Sauvignon Blanc,Grilled Bluefish,4.0
1509,Red Wine,Barolo,Wild Boar,4.0
1510,Red Wine,Chianti Classico DOCG,Wild Boar,4.0
1511,Red Wine,"Rhone, Red Wine",Wild Boar,4.0
1512,White Wine,Savennières,Blanquette of Veal,4.0
1513,Beer,Saison,Thai Cuisine,4.0
1514,Beer,Piwo Grodziskie,Grilled Fish,4.0
1515,White Wine,"Chablis, Cru",Brandade,4.0
1516,Rosé,Rosé,Brandade,4.0
1517,Beer,Piwo Grodziskie,Grilled Hamburgers,4.0
1518,Dessert Wine,Late Harvest Wines,Bread  Pudding,4.0
1519,Dessert Wine,"Riesling, Late Harvest",Bread  Pudding,4.0
1520,Dessert Wine,Sauternes,Bread  Pudding,4.0
1521,Sherry,"Sherry, Sweet ",Bread  Pudding,4.0
1522,Sparkling Wine,Champagne,Breakfast,4.0
1523,Sparkling Wine,Champagne,Brunch,4.0
1524,Sparkling Wine,Sparkling Wine,Brunch,4.0
1525,Sparkling Wine,Sparkling Wine,Breakfast,4.0
1526,White Wine,Sauvignon Blanc,Brussel Sprouts,4.0
1527,Beer,Piwo Grodziskie,Grilled Salmon ,4.0
1528,Sparkling Wine,Champagne,Butter,4.0
1529,Sparkling Wine,Champagne,Butter Sauce,4.0
1530,Beer,Wheat Beer,Cabbage,4.0
1531,Beer,Weissbock,Swordfish,4.0
1532,Red Wine,Cabernet Franc,Cabbage,4.0
1533,Fortified Wine,Madeira based Cocktails,Cabbage,4.0
1534,White Wine,"Gewürztraminer, Alsace",Cabbage,4.0
1535,Beer,Piwo Grodziskie,Grilled Trout,4.0
1536,Beer,Pilsner,Cajun Cuisine,4.0
1537,Beer,Wheat Beer,Cajun Cuisine,4.0
1538,White Wine,"Gewürztraminer, Alsace",Cajun Cuisine,4.0
1539,White Wine,Riesling,Cajun Cuisine,4.0
1540,Sparkling Wine,"Asti Frizzante, (DOCG)",Cake,4.0
1541,Sparkling Wine,"Asti Frizzante, (DOCG)",Cupcakes,4.0
1542,Sparkling Wine,"Champagne, Extra Dry",Cake,4.0
1543,Sparkling Wine,"Champagne, Extra Dry",Cupcakes,4.0
1544,Coffee,Coffee,Cake,4.0
1545,Coffee,Coffee,Cupcakes,4.0
1546,Dessert Wine,"Madeira, Malmsey",Cake,4.0
1547,Dessert Wine,"Madeira, Malmsey",Cupcakes,4.0
1548,Dessert Wine,"Madeira, Bual",Cake,4.0
1549,Dessert Wine,"Madeira, Bual",Cupcakes,4.0
1550,Sparkling Wine,Moscato d'Asti,Cake,4.0
1551,Sparkling Wine,Moscato d'Asti,Cupcakes,4.0
1552,White Wine,Riesling,Cake,4.0
1553,White Wine,Riesling,Cupcakes,4.0
1554,Tea,Tea,Cake,4.0
1555,Tea,Tea,Cupcakes,4.0
1556,White Wine,Marsanne,Brin D'Amour Cheese,4.0
1557,Red Wine,Grenache,Brin D'Amour Cheese,4.0
1558,Red Wine,Chianti DOCG,Cannelloni,4.0
1559,Beer,Piwo Grodziskie,Vegetarian Dishes Grilled,4.0
1560,White Wine,Viognier,Brin D'Amour Cheese,4.0
1561,White Wine,Sauvignon Blanc,Capers,4.0
1562,White Wine,Vermentino,Brin D'Amour Cheese,4.0
1563,Dessert Wine,"Madeira, Malmsey",Caramel,4.0
1564,Dessert Wine,Muscat de Beaumes-de-Venise,Caramel,4.0
1565,Liquor,Rum and Rum Based Drinks,Caribbean Cusine,4.0
1566,Fortified Wine,Rainwater Madeira,Boernkaas Cheese,4.0
1567,Sherry,"Sherry, Amontillado",Boernkaas Cheese,4.0
1568,Sparkling Wine,Sparkling Wine,Boernkaas Cheese,4.0
1569,White Wine,Chardonnay,Brillat Savarin Cheese,4.0
1570,White Wine,Sauvignon Blanc,Brin D'Amour Cheese,4.0
1571,Red Wine,Chianti Classico DOCG,Carpaccio,4.0
1572,Rosé,Rosé,Carpaccio,4.0
1573,White Wine,Grüner Veltliner,Carrots,4.0
1574,White Wine,Sauvignon Blanc,Carrots,4.0
1575,Other,French,Cassoulet,4.0
1576,Beer,Piwo Grodziskie,Grilled Sole ,4.0
1577,White Wine,Riesling,Catfish,4.0
1578,White Wine,Sancerre,Catfish,4.0
1579,Beer,American Amber Lager,Swordfish,4.0
1580,Red Wine,Barolo,Butternut Squash Ravioli,4.0
1581,White Wine,Albariño,Ceviche,4.0
1582,Beer,Piwo Grodziskie,Hot Dogs,4.0
1583,Sparkling Wine,Champagne,Ceviche,4.0
1584,White Wine,Riesling,Ceviche,4.0
1585,Sparkling Wine,Sparkling Wine,Ceviche,4.0
1586,Sparkling Wine,"Sparkling Wine, Brut",French Fries,4.0
1587,Sparkling Wine,Riesling Sekt,Jalapeño Poppers,4.0
1588,White Wine,Chenin Blanc,Charcuterie,4.0
1589,Red Wine,"Côtes du Rhône, Red",Charcuterie,4.0
1590,White Wine,Gewürztraminer,Charcuterie,4.0
1591,White Wine,"Riesling, Alsace",Charcuterie,4.0
1592,Rosé,Rosé,Charcuterie,4.0
1593,White Wine,Vouvray,Charcuterie,4.0
1594,White Wine,Sauvignon Blanc,Cheese,4.0
1595,Red Wine,Barolo,Sweet Potato Pasta,4.0
1596,Sparkling Wine,"Champagne, Blanc de Noirs",Beaufort Cheese,4.0
1597,White Wine,"Hermitage, White",Beaufort Cheese,4.0
1598,Red Wine,Barbera DOC,Bel Paese Cheese,4.0
1599,Red Wine,Monbazillac,Bleu D'Auvergne Cheese,4.0
1600,Red Wine,Barolo,Goat Cheese & Beet Ravioli,4.0
1601,Fortified Wine,Madeira,Blue Cheese,4.0
1602,Red Wine,Merlot,Blue Cheese,4.0
1603,White Wine,"Muscat, Dry",Blue Cheese,4.0
1604,Port,"Port, Tawny",Blue Cheese,4.0
1605,Port,"Port, Vintage",Blue Cheese,4.0
1606,Sherry,Sherry,Blue Cheese,4.0
1607,Red Wine,Zinfandel,Blue Cheese,4.0
1608,White Wine,Gewürztraminer,Boursin Cheese,4.0
1609,White Wine,Sancerre,Boursin Cheese,4.0
1610,Red Wine,Beaujolais,Brie Cheese,4.0
1611,Red Wine,Bordeaux AOC Red,Brie Cheese,4.0
1612,Red Wine,Cabernet Sauvignon,Brie Cheese,4.0
1613,Red Wine,Pinot Noir,Brie Cheese,4.0
1614,White Wine,Riesling,Brie Cheese,4.0
1615,Sherry,"Sherry, Sweet ",Brie Cheese,4.0
1616,Beer,Ale,British Cheese,4.0
1617,Red Wine,"Châteauneuf du Pape, Red",Osso Buco,4.0
1618,Red Wine,Beaujolais,Camembert Cheese,4.0
1619,Red Wine,Cabernet Sauvignon,Camembert Cheese,4.0
1620,Liquor,"Calvados, Basse-Normandie",Camembert Cheese,4.0
1621,Juice,"Cider, Non Alcoholic",Camembert Cheese,4.0
1622,Red Wine,Pinot Noir,Camembert Cheese,4.0
1623,White Wine,Sauvignon Blanc,Camembert Cheese,4.0
1624,White Wine,Chablis,Chaource Cheese,4.0
1625,Sparkling Wine,"Champagne, Blanc de Noirs",Chaource Cheese,4.0
1626,Red Wine,Bordeaux AOC Red,Cheddar Cheese,4.0
1627,Red Wine,Merlot,Cheddar Cheese,4.0
1628,Red Wine,Pinot Noir,Cheddar Cheese,4.0
1629,Red Wine,"Fitou, Red",Ratatouille,4.0
1630,Red Wine,"Rhone, Red Wine",Cheddar Cheese,4.0
1631,Red Wine,Côte Rôtie (AOC),Osso Buco,4.0
1632,Red Wine,Shiraz,Cheddar Cheese,4.0
1633,Red Wine,Syrah,Cheddar Cheese,4.0
1634,Red Wine,Zinfandel,Cheddar Cheese,4.0
1635,Beer,Weissbier,Lemon Risotto,4.0
1636,Beer,Ale,Cheshire Cheese,4.0
1637,Beer,Weissbier,Banana Pudding,4.0
1638,Red Wine,Bordeaux AOC Red,Colby Cheese,4.0
1639,Sparkling Wine,Champagne,Colby Cheese,4.0
1640,White Wine,Riesling,Colby Cheese,4.0
1641,Sparkling Wine,Champagne,Cream Cheese,4.0
1642,Beer,Helles,Tapas,4.0
1643,White Wine,Sauvignon Blanc,Crottin Cheese,4.0
1644,Dessert Wine,Sauternes,Danish Blue Cheese,4.0
1645,Beer,English Brown Ale,Double Gloucester Cheese,4.0
1646,Red Wine,Pinot Noir,Edam Cheese,4.0
1647,Red Wine,Beaujolais,Emmental Cheese,4.0
1648,White Wine,"Riesling, Alsace",Emmental Cheese,4.0
1649,White Wine,"Burgundy, White",Epoisses Cheese,4.0
1650,Sparkling Wine,"Champagne, Blanc de Noirs",Epoisses Cheese,4.0
1651,Sparkling Wine,"Champagne, Rosé ",Epoisses Cheese,4.0
1652,White Wine,Gewürztraminer,Epoisses Cheese,4.0
1653,Dessert Wine,Sauternes,Epoisses Cheese,4.0
1654,Red Wine,"Burgundy, Red",Explorateur Cheese,4.0
1655,Red Wine,Beaujolais,Feta Cheese,4.0
1656,Beer,Wheat Beer,Feta Cheese,4.0
1657,White Wine,"Chardonnay, Unoaked",Feta Cheese,4.0
1658,Liquor,Ouzo,Feta Cheese,4.0
1659,Red Wine,Barbera DOC,Fontina Cheese,4.0
1660,Red Wine,Dolcetto (DOC),Fontina Cheese,4.0
1661,White Wine,Pinot Grigio,Fontina Cheese,4.0
1662,Red Wine,"Burgundy, Red",Fourme D'ambert Cheese,4.0
1663,Beer,Belgian Beer,Goat Cheese,4.0
1664,Beer,Wheat Beer,Goat Cheese,4.0
1665,White Wine,Bordeaux AOC White,Goat Cheese,4.0
1666,Red Wine,Cabernet Franc,Goat Cheese,4.0
1667,White Wine,Chablis,Goat Cheese,4.0
1668,Sparkling Wine,Champagne,Goat Cheese,4.0
1669,Sparkling Wine,"Champagne, Rosé ",Goat Cheese,4.0
1670,Red Wine,Nebbiolo,Osso Buco,4.0
1671,Sparkling Wine,Sparkling Wine,Goat Cheese,4.0
1672,Red Wine,Amarone,Gorgonzola Cheese,4.0
1673,Red Wine,Barbaresco DOCG,Gorgonzola Cheese,4.0
1674,Port,"Port, Tawny",Gorgonzola Cheese,4.0
1675,Port,"Port, Vintage",Gorgonzola Cheese,4.0
1676,Dessert Wine,Sauternes,Gorgonzola Cheese,4.0
1677,Red Wine,Tempranillo Reserva,Osso Buco,4.0
1678,Beer,Ale,Gouda Cheese,4.0
1679,Beer,Amber Ale,Gouda Cheese,4.0
1680,Beer,English Brown Ale,Gouda Cheese,4.0
1681,Beer,India Pale Ale - IPA,Gouda Cheese,4.0
1682,Red Wine,Bordeaux AOC Red,Gouda Cheese,4.0
1683,White Wine,"Burgundy, White",Gouda Cheese,4.0
1684,Red Wine,Cabernet Sauvignon,Gouda Cheese,4.0
1685,White Wine,Chardonnay,Gouda Cheese,4.0
1686,Sherry,Sherry,Gouda Cheese,4.0
1687,Red Wine,Amarone,Barbecued Short Ribs,4.0
1688,Red Wine,"Burgundy, Red",Gruyere Cheese,4.0
1689,White Wine,"Burgundy, White",Gruyere Cheese,4.0
1690,White Wine,Chardonnay,Gruyere Cheese,4.0
1691,White Wine,Gewürztraminer,Gruyere Cheese,4.0
1692,Red Wine,Pinot Noir,Gruyere Cheese,4.0
1693,White Wine,Riesling,Havarti Cheese,4.0
1694,Red Wine,Madiran AOC,Osso Buco,4.0
1695,White Wine,Sauvignon Blanc,Havarti Cheese,4.0
1696,Red Wine,Amarone,Cimbro Cheese,4.0
1697,Beer,Dunkel,Walnuts,4.0
1698,Sparkling Wine,Cava,Manchego Cheese,4.0
1699,White Wine,"Ribera del Duero, White",Manchego Cheese,4.0
1700,Red Wine,Malbec,Osso Buco,4.0
1701,Beer,British Brown Ale,Walnuts,4.0
1702,White Wine,"Muscat, Dry",Montenebero Cheese,4.0
1703,Red Wine,Cabernet Sauvignon,Monterey Jack Cheese,4.0
1704,White Wine,Chardonnay,Monterey Jack Cheese,4.0
1705,White Wine,Riesling,Monterey Jack Cheese,4.0
1706,Red Wine,Chianti DOCG,Mozzarella Cheese,4.0
1707,White Wine,"Greco di Tufo, White",Mozzarella Cheese,4.0
1708,Red Wine,Orvieto (DOC),Mozzarella Cheese,4.0
1709,Red Wine,Sangiovese,Mozzarella Cheese,4.0
1710,Red Wine,Beaujolais,Muenster Cheese,4.0
1711,Beer,Belgian Beer,Muenster Cheese,4.0
1712,Beer,Chimay,Muenster Cheese,4.0
1713,Beer,English Brown Ale,Muenster Cheese,4.0
1714,Beer,Amber Ale,Muenster Cheese,4.0
1715,White Wine,"Riesling, Alsace",Muenster Cheese,4.0
1716,Sherry,"Sherry, Fino",Muenster Cheese,4.0
1717,Sherry,"Sherry, Oloroso",Muenster Cheese,4.0
1718,Red Wine,Barbaresco DOCG,Parmesan Cheese,4.0
1719,Beer,Amber Ale,Parmesan Cheese,4.0
1720,Beer,Pale Ale,Parmesan Cheese,4.0
1721,Beer,Lager,Parmesan Cheese,4.0
1722,Red Wine,Brunello di Montalcino (DOCG),Parmesan Cheese,4.0
1723,Red Wine,Chianti DOCG,Parmesan Cheese,4.0
1724,Beer,Doppelbock,Walnuts,4.0
1725,Red Wine,Super Tuscan,Parmesan Cheese,4.0
1726,Red Wine,Zinfandel,Pecorino Cheese,4.0
1727,Red Wine,Amarone,Monte Veronese Ubriaco Cheese,4.0
1728,Red Wine,Amarone,Pecorino Vecchio Cheese,4.0
1729,Red Wine,Bordeaux AOC Red,Pont-L'eveque Cheese,4.0
1730,Red Wine,Pinot Noir,Pont-L'eveque Cheese,4.0
1731,Red Wine,"Rhone, Red Wine",Pont-L'eveque Cheese,4.0
1732,White Wine,"Pinot Gris, Alsace",Pont-L'eveque Cheese,4.0
1733,Red Wine,"Burgundy, Red",Port Salut Cheese,4.0
1734,Sparkling Wine,"Champagne, Dry",Port Salut Cheese,4.0
1735,Red Wine,"Côtes du Rhône, Red",Port Salut Cheese,4.0
1736,Other,Bardolino Superiore,Provolone Cheese,4.0
1737,Beer,Pale Ale,Provolone Cheese,4.0
1738,White Wine,Chardonnay,Provolone Cheese,4.0
1739,Red Wine,Chianti Classico DOCG,Provolone Cheese,4.0
1740,Red Wine,Chianti Riserva DOCG,Provolone Cheese,4.0
1741,Red Wine,Dolcetto (DOC),Provolone Cheese,4.0
1742,Beer,Pilsner,Vietnamese Cuisine,4.0
1743,Red Wine,Shiraz,Provolone Cheese,4.0
1744,Red Wine,Syrah,Provolone Cheese,4.0
1745,Red Wine,Beaujolais,Raclette Cheese,4.0
1746,Red Wine,Sangiovese,Raclette Cheese,4.0
1747,White Wine,Sauvignon Blanc,Raclette Cheese,4.0
1748,White Wine,Aligoté,Reblochon Cheese,4.0
1749,Other,Brachetto,Ricotta Cheese,4.0
1750,White Wine,Chardonnay,Ricotta Cheese,4.0
1751,Red Wine,Lambrusco,Ricotta Cheese,4.0
1752,White Wine,Sauvignon Blanc,Ricotta Cheese,4.0
1753,Red Wine,Amarone,Robiola Cheese,4.0
1754,Red Wine,Barbaresco DOCG,Robiola Cheese,4.0
1755,Red Wine,Barolo,Robiola Cheese,4.0
1756,Beer,Saison,Vietnamese Cuisine,4.0
1757,Red Wine,Barbaresco DOCG,Romano Cheese,4.0
1758,Red Wine,Merlot,Romano Cheese,4.0
1759,Rosé,Rosé,Roncal Cheese,4.0
1760,Other,Navarra,Roncal Cheese,4.0
1761,Dessert Wine,Banyuls,Roquefort Cheese,4.0
1762,Liquor,Barsac,Roquefort Cheese,4.0
1763,Beer,Belgian Beer,Roquefort Cheese,4.0
1764,Beer,Chimay,Roquefort Cheese,4.0
1765,Dessert Wine,Late Harvest Wines,Roquefort Cheese,4.0
1766,Dessert Wine,Muscat de Beaumes-de-Venise,Roquefort Cheese,4.0
1767,Dessert Wine,Muscat de Rivesaltes,Roquefort Cheese,4.0
1768,Beer,Doppelbock,Vichyssoise,4.0
1769,White Wine,"Riesling, Alsace",Roquefort Cheese,4.0
1770,Dessert Wine,"Riesling, Late Harvest",Roquefort Cheese,4.0
1771,Sherry,"Sherry, Sweet ",Roquefort Cheese,4.0
1772,Sherry,"Sherry, Oloroso",Roquefort Cheese,4.0
1773,Sherry,"Sherry, PX or Pedro Ximenez",Roquefort Cheese,4.0
1774,Dessert Wine,Muscat de Beaumes-de-Venise,Saint-Marcellin Cheese,4.0
1775,Red Wine,"Rhone, Red Wine",Saint-Marcellin Cheese,4.0
1776,Red Wine,Beaujolais,Saint-Nectaire Cheese,4.0
1777,Red Wine,Bordeaux AOC Red,Saint-Nectaire Cheese,4.0
1778,Red Wine,"Graves, Red",Saint-Nectaire Cheese,4.0
1779,Red Wine,Margaux,Saint-Nectaire Cheese,4.0
1780,Red Wine,Saint-Émilion AOC,Saint-Nectaire Cheese,4.0
1781,White Wine,"Burgundy, White",Saint-Nectaire Cheese,4.0
1782,Red Wine,Côte Rôtie (AOC),Saint-Nectaire Cheese,4.0
1783,White Wine,"Riesling, Alsace",Saint-Nectaire Cheese,4.0
1784,White Wine,Sancerre,Selles-Sur-Cher Cheese,4.0
1785,Red Wine,Brunello di Montalcino (DOCG),Wild Boar Stew,4.0
1786,Red Wine,"Ribera del Duero, Red",Serena Cheese,4.0
1787,White Wine,Riesling,Sheep's Milk Cheese,4.0
1788,Beer,Ale,Smoked Cheese,4.0
1789,Beer,Lager,Smoked Cheese,4.0
1790,Beer,Smoked Beer,Smoked Cheese,4.0
1791,White Wine,"Gewürztraminer, Alsace",Smoked Cheese,4.0
1792,Red Wine,Shiraz,Smoked Cheese,4.0
1793,Beer,Belgian Beer,Stilton Cheese,4.0
1794,Beer,India Pale Ale - IPA,Stilton Cheese,4.0
1795,Dessert Wine,Ice Wine,Stilton Cheese,4.0
1796,Fortified Wine,Madeira,Stilton Cheese,4.0
1797,Dessert Wine,"Riesling, Late Harvest",Stilton Cheese,4.0
1798,Sherry,Sherry,Stilton Cheese,4.0
1799,Red Wine,Barbaresco DOCG,Taleggio Cheese,4.0
1800,Red Wine,Barolo,Taleggio Cheese,4.0
1801,Red Wine,Chianti Riserva DOCG,Taleggio Cheese,4.0
1802,Dessert Wine,Muscat de Rivesaltes,Taleggio Cheese,4.0
1803,Red Wine,Barbera d'Alba (DOC),Prosciutto di Parma,4.0
1804,Red Wine,"Hermitage, Red/White",Tete De Moine Cheese,4.0
1805,Red Wine,"Burgundy, Red",Torta Del Casar Cheese,4.0
1806,Sherry,"Sherry, Fino",Torta Del Casar Cheese,4.0
1807,Sherry,"Sherry, Manzanilla",Torta Del Casar Cheese,4.0
1808,Sherry,"Sherry, Oloroso",Torta Del Casar Cheese,4.0
1809,Sherry,"Sherry, PX or Pedro Ximenez",Torta Del Casar Cheese,4.0
1810,Beer,Old Ale,Venison,4.0
1811,Sparkling Wine,Sparkling Wine,Triple Créme Cheese,4.0
1812,Red Wine,Beaujolais,Vacherin Cheese,4.0
1813,Sparkling Wine,"Champagne, Blanc de blancs ",Vacherin Cheese,4.0
1814,Red Wine,Pinot Noir,Vacherin Cheese,4.0
1815,White Wine,"Riesling, Alsace",Vacherin Cheese,4.0
1816,Dessert Wine,Late Harvest Wines,Valdeon Cheese,4.0
1817,Dessert Wine,Sauternes,Valdeon Cheese,4.0
1818,Beer,Weissbock,Veal,4.0
1819,White Wine,"Pinot Gris, Alsace",Abondance Cheese,4.0
1820,White Wine,Chardonnay,Cheesecake,4.0
1821,Coffee,Medium Roasted,Cheesecake,4.0
1822,White Wine,Riesling,Yaki-zakana (grilled fish),4.0
1823,Dessert Wine,Moscato d'Asti,Cheesecake,4.0
1824,Port,"Port, Tawny",Cheesecake Chocolate,4.0
1825,Dessert Wine,Vouvray Sweet Viscous White Wine,Cheesecake,4.0
1826,Sparkling Wine,"Champagne, Blanc de blancs ",Cheese Puffs,4.0
1827,Sparkling Wine,"Champagne, Brut",Cheese Puffs,4.0
1828,Sparkling Wine,"Champagne, Blanc de blancs ",Cheese Straws,4.0
1829,Sparkling Wine,"Champagne, Brut",Cheese Straws,4.0
1830,White Wine,Chardonnay,Cheese Sauce,4.0
1831,White Wine,Chardonnay,Cheese Dishes,4.0
1832,Red Wine,Beaujolais,Cherry,4.0
1833,Sparkling Wine,"Champagne, Rosé ",Cherry Dessert,4.0
1834,Dessert Wine,Muscat de Beaumes-de-Venise,Cherry Dessert,4.0
1835,Dessert Wine,"Muscat, Black",Cherry Dessert,4.0
1836,Dessert Wine,"Riesling, Late Harvest",Cherry Dessert,4.0
1837,White Wine,Riesling,Chervil,4.0
1838,Red Wine,Syrah,Chervil,4.0
1839,Red Wine,"Hermitage, Red",Chervil,4.0
1840,Red Wine,Côte Rôtie (AOC),Chervil,4.0
1841,Sparkling Wine,"Asti (DOCG), Frizzante or Spumante",Chestnuts,4.0
1842,Red Wine,Beaujolais,Chicken,4.0
1843,Red Wine,Cabernet Sauvignon,Chicken,4.0
1844,Red Wine,Dolcetto (DOC),Chicken,4.0
1845,Red Wine,Merlot,Chicken,4.0
1846,Beer,Belgian Strong Golden Ale,Veal,4.0
